MES;LOTE;DISTRITO;Kg Recogida de muebles;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas;;
JUNIO 2019;6;VILLAVERDE;7230;444941;684;17;38;72;71;35;2685,05;293542;;
JULIO 2019;1;CENTRO - ARGÜELLES;28820;761880;2789;6;33;953;88;842;2577;562000;;
JULIO 2019;1;CHAMBERÍ;40940;382650;608;3;33;365;67;199;370,5;348000;;
JULIO 2019;1;TETUÁN;2300;435762;808;8;87;220;108;281;1135,85;324000;;
JULIO 2019;2;ARGANZUELA;7600;146905;812;18;31;237;24;224;1209,64;300000;;
JULIO 2019;2;RETIRO;13560;363460;664;9;37;106;53;126;563,75;480300;;
JULIO 2019;2;SALAMANCA;17480;714224;842;7;73;274;58;141;602;462830;;
JULIO 2019;2;CHAMARTÍN;4500;361887;729;0;83;218;36;239;1428,25;325000;;
JULIO 2019;3;FUENCARRAL;3580;477240;739;0;114;118;40;257;3273,4;428000;;
JULIO 2019;3;MONCLOA;18660;124180;532;0;48;59;57;269;2795,25;270000;;
JULIO 2019;3;LATINA;7700;571720;519;2;45;243;39;988;8242,19;384000;;
JULIO 2019;4;BARAJAS;3780;29396;120;4;3;3;5;2;15;66800;;
JULIO 2019;4;HORTALEZA;14480;68304;160;4;2;3;4;0;0;107400;;
JULIO 2019;4;SAN BLAS;6620;128990;142;0;19;13;0;19;169;102450;;
JULIO 2019;4;CIUDAD LINEAL;0;64730;165;0;9;1;4;1;2;132800;;
JULIO 2019;5;PTE. VALLECAS;2130;570029;925;19;217;161;100;380;536,98;290000;;
JULIO 2019;5;VILLA VALLECAS;640;171009;193;0;46;68;82;122;173,49;100000;;
JULIO 2019;5;MORATALAZ;855;228012;185;6;168;63;55;206;832,98;145000;;
JULIO 2019;5;VICÁLVARO;640;171009;180;0;51;92;40;133;564,7;87000;;
JULIO 2019;6;CARABANCHEL;2756;120964,8;359;1;19;28;10;6;255,56;85720;;
JULIO 2019;6;USERA;1520;75603;186;0;6;8;8;3;159,72;51265;;
JULIO 2019;6;VILLAVERDE;2422;105844,2;185;0;8;24;22;6;223,61;57423;;
AGOSTO 2019;1;CENTRO - ARGÜELLES;26340;608580;2479;2;28;712;40;767;2846,33;468000;;
AGOSTO 2019;1;CHAMBERÍ;21440;358400;611;3;14;273;75;155;317;348000;;
AGOSTO 2019;1;TETUÁN;6420;318170;713;13;35;199;58;135;357;324000;;
AGOSTO 2019;2;ARGANZUELA;4140;111800;657;7;15;186;47;367;737,99;204000;;
AGOSTO 2019;2;RETIRO;14540;330220;478;12;33;74;47;76;35,47;395800;;
AGOSTO 2019;2;SALAMANCA;16060;765780;860;14;1;184;49;137;1075;462830;;
AGOSTO 2019;2;CHAMARTÍN;12640;246030;549;2;78;156;33;130;1891,75;314000;;
AGOSTO 2019;3;FUENCARRAL;1100;251740;500;1;52;91;48;375;2295;428000;;
AGOSTO 2019;3;MONCLOA;17720;72440;312;1;10;49;43;225;6964;268000;;
AGOSTO 2019;3;LATINA;6520;452640;378;0;30;190;39;896;9915,31;336000;;
AGOSTO 2019;4;BARAJAS;16980;112814;152;6;15;26;19;83;482;104250;;
AGOSTO 2019;4;HORTALEZA;43860;222046;413;11;87;78;32;408;1505;249825;;
AGOSTO 2019;4;SAN BLAS;22220;356652;445;0;45;148;23;317;4117;368700;;
AGOSTO 2019;4;CIUDAD LINEAL;49200;586150;448;0;80;121;19;302;1444;629800;;
AGOSTO 2019;5;PTE. VALLECAS;2210;600755;1204;29;203;165;116;251;512,25;380000;;
AGOSTO 2019;5;VILLA VALLECAS;663;180227;271;8;155;58;37;133;294,94;132000;;
AGOSTO 2019;5;MORATALAZ;884;240302;223;3;45;43;29;263;487,86;260000;;
AGOSTO 2019;5;VICÁLVARO;663;180227;188;6;49;79;44;126;136,26;192000;;
AGOSTO 2019;6;CARABANCHEL;7130;500180;1183;38;90;153;96;390;2513,19;449695;;
AGOSTO 2019;6;USERA;2934;312613,375;638;23;71;61;39;142;441,55;256555;;
AGOSTO 2019;6;VILLAVERDE;4133;437657,125;626;10;52;72;44;155;879,83;286179;;
SEPTIEMBRE 2019;1;CENTRO - ARGÜELLES;35780;732460;2832;8;20;1014;48;681;2207;492000;;
SEPTIEMBRE 2019;1;CHAMBERÍ;36240;389940;593;0;52;330;63;178;307;348000;;
SEPTIEMBRE 2019;1;TETUÁN;10380;405400;705;11;107;198;110;331;1961;324000;;
SEPTIEMBRE 2019;2;ARGANZUELA;9300;126900;641;20;22;305;47;382;1143,49;400000;;
SEPTIEMBRE 2019;2;RETIRO;16760;308460;691;9;29;113;59;249;993,64;393800;;
SEPTIEMBRE 2019;2;SALAMANCA;15900;1027500;746;10;81;302;52;135;1371;447900;;
SEPTIEMBRE 2019;2;CHAMARTÍN;13860;204240;696;4;101;247;58;211;1458,5;321000;;
SEPTIEMBRE 2019;3;FUENCARRAL;5220;320000;656;0;94;135;46;355;3339;428000;;
SEPTIEMBRE 2019;3;MONCLOA;13660;102560;374;2;42;59;53;269;6397;270000;;
SEPTIEMBRE 2019;3;LATINA;3760;425400;492;2;63;248;45;727;8045;348000;;
SEPTIEMBRE 2019;4;BARAJAS;16200;127567;286;8;31;12;24;105;446;135930;;
SEPTIEMBRE 2019;4;HORTALEZA;48980;251132;831;22;124;24;57;161;874;205525;;
SEPTIEMBRE 2019;4;SAN BLAS;24480;443490;742;1;46;197;32;342;1659;221500;;
SEPTIEMBRE 2019;4;CIUDAD LINEAL;30520;700490;325;0;76;176;38;297;5776;466950;;
SEPTIEMBRE 2019;5;PTE. VALLECAS;4700;719120;1399;45;275;192;143;293;734,01;380000;;
SEPTIEMBRE 2019;5;VILLA VALLECAS;1410;215736,2;303;11;182;76;91;160;537,96;132000;;
SEPTIEMBRE 2019;5;MORATALAZ;1880;287647,6;255;0;64;52;61;258;735,7;220000;;
SEPTIEMBRE 2019;5;VICÁLVARO;1410;215736,2;233;4;57;83;46;197;567,14;152000;;
SEPTIEMBRE 2019;6;CARABANCHEL;7984;546720;1148;28;114;183;74;488;2654,26;450966;;
SEPTIEMBRE 2019;6;USERA;4990;341700;706;24;74;123;82;241;650,65;228044;;
SEPTIEMBRE 2019;6;VILLAVERDE;6986;478380;620;8;66;95;79;295;879,88;288976;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
